id,speaker,text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Dic,i,we,you,number,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,Social,socbehav,prosocial,polite,conflict,moral,comm,time,focuspast,focuspresent,focusfuture
23,d,"No, there are no packages. It’s a full base model LE front-wheel drive. Key features are adaptive cruise control, Android Auto, Apple CarPlay, and normal features. LE won’t come with sunroof or blind spot unless it’s part of a standard safety feature. It will have a backup camera but not fancy extras.",1,52,21.6,1,81.58,79.29,10.4,32.69,0,0,0,0,1.92,0,0,1.92,28.85,3.85,13.46,1.92,1.92,0,1.92,0,9.62,0,3.85,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,3.85
24,b,"Okay, so it doesn't have blind spot or anything like that. I'm trying to get a window sticker. I don’t think you have them on your website.",1,27,1,40.06,10.18,,9,44.44,7.41,0,7.41,0,3.7,0,3.7,0,22.22,0,14.81,3.7,0,3.7,7.41,0,3.7,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,14.81,0
25,d,"It should be on there because it's on the lot. When you're on the computer, type in the stock number under new vehicles. Click the picture. It’ll open the full details. It has bucket seats, power seats, probably a standard package. The 2024s are moving to power seats. I don’t see any unusual features.",1,54,60.76,40.06,27.44,48.44,7.71,31.48,1.85,0,1.85,1.85,3.7,0,0,3.7,24.07,0,9.26,0,1.85,1.85,3.7,0,0,0,1.85,1.85,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,3.7,0,9.26,1.85
26,b,"Okay. So you're at $4,759 off, no add-ons, no other fees?",1,11,6.68,5.27,5.07,,5.5,45.45,0,0,9.09,9.09,0,0,0,0,36.36,18.18,9.09,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,9.09,0
27,d,"Besides our doc fee, registration fee, and sales tax, no. With those fees, the price is $27,838. MSRP is $31,369. You’re still saving about $12,000.",1,25,19.3,82.98,3.34,,6.25,36,0,4,4,12,4,4,0,0,20,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,12,0
28,b,I understand. I guess I'm confused why you won't put the discount in writing if it's already on the website.,1,20,3.8,1,99,1,10,65,15,0,5,0,0,0,0,0,45,0,25,10,5,0,15,0,5,0,5,0,5,5,0,5,0,0,0,10,5,0,0,0,0,5,5,5,10,5
29,d,"I meant we don’t send spec sheets or buyer guides. We don't have the authority unless you’re here. We put those documents together in person. If you want a buyer’s guide for your bank, we make it while you're here. We hold the car while you go to the bank. If you don’t like the car and already have the check, you'd have to redo everything.",1,66,4.19,99,79.84,,11,51.52,1.52,7.58,10.61,0,10.61,9.09,0,1.52,22.73,1.52,10.61,1.52,1.52,1.52,4.55,0,6.06,0,0,0,0,0,0,0,0,0,0,21.21,1.52,1.52,0,0,0,0,4.55,3.03,9.09,3.03
30,b,"Okay. It’s just a pretty crazy discount, so you can imagine why people want things in writing.",1,17,1.05,99,1,,8.5,58.82,0,0,5.88,0,0,0,0,0,35.29,0,29.41,5.88,5.88,11.76,5.88,0,0,0,5.88,0,0,5.88,0,0,0,0,0,17.65,5.88,0,0,0,0,5.88,0,0,11.76,0
31,d,"Yes, and we always have crazy discounts. This one is one of the craziest I’ve seen in a while.",1,19,22.98,70.59,70.28,,9.5,57.89,5.26,5.26,0,10.53,5.26,5.26,0,0,26.32,10.53,0,0,0,0,0,0,0,0,10.53,0,0,10.53,0,0,0,0,0,5.26,0,0,0,0,0,0,10.53,10.53,5.26,0
32,b,Okay. What about the interest rate? Is it 2.99%?,1,9,33.38,,,,3,22.22,0,0,0,11.11,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0
33,d,I don't know the exact rates. They change month to month. It's a finance question. If you have top-tier credit—700 or higher—you get the top-tier rate. It depends on the bank as well.,1,35,39.7,57.11,91.58,65.27,7,45.71,2.86,0,5.71,2.86,0,0,0,0,28.57,0,17.14,5.71,5.71,0,11.43,0,5.71,0,2.86,2.86,0,0,0,0,0,0,0,11.43,2.86,0,0,0,0,2.86,8.57,0,8.57,0
34,b,I saw 'Spring to Savings' on your website with 2.99%.,1,10,97.77,89.5,7.03,,10,40,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0
35,d,A lot of those are market advertisements. Sometimes they show 0.99% but the actual rate is closer to 6% or 7%. You have to move the decimal. It depends.,1,29,68.11,60.57,43.66,,7.25,44.83,0,0,3.45,10.34,0,0,0,0,20.69,0,13.79,0,3.45,0,10.34,0,6.9,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,3.45,0,10.34,6.9
36,b,So they advertise one thing but it may not be the real rate?,1,13,1,1,30.98,,13,46.15,0,0,0,7.69,0,0,0,0,30.77,0,30.77,0,0,0,7.69,7.69,15.38,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,7.69
37,d,Yes. We may be able to get you there. We would need to see everything in person. We're a local-market store; everything must be done in person. We can't do remote deals. Do you have time between tomorrow and Saturday?,1,40,5.64,99,7.03,,6.67,55,0,10,5,0,12.5,10,2.5,0,35,7.5,15,0,0,12.5,2.5,5,2.5,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,7.5,2.5,5,5
38,b,Possibly. We're buying this weekend. It's just concerning as a consumer that you won't give numbers in writing even though they're on your website.,1,24,1,99,15.38,,8,50,0,4.17,8.33,0,4.17,4.17,0,0,33.33,0,8.33,0,0,0,4.17,0,4.17,0,0,0,0,0,0,0,0,0,0,29.17,8.33,0,0,0,0,4.17,4.17,0,16.67,4.17
39,d,I can talk to my manager. I promise I'll try.,1,10,1,1,63.35,,5,90,40,0,0,0,20,0,10,10,40,0,30,0,0,20,0,10,0,0,0,0,0,0,0,0,0,0,0,30,20,0,0,0,0,10,0,0,10,10
40,b,"Yeah, I saw the discount wasn’t originally on the site; now it is.",1,13,14.06,1,99,,13,46.15,7.69,0,0,0,0,0,0,0,30.77,0,15.38,0,7.69,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,15.38,15.38,0
41,d,It’s been on there. I just clicked it. But I'll talk to my manager and see if he can write something out or speak with you.,1,26,1,7.93,81.58,,8.67,61.54,11.54,0,3.85,0,3.85,0,0,3.85,34.62,0,19.23,0,0,3.85,11.54,0,11.54,0,0,0,0,0,0,0,0,0,0,23.08,11.54,0,0,0,0,11.54,0,3.85,7.69,3.85
42,b,Sure. That’d be great.,1,4,1,,,99,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,d,I'm transferring you to my manager now.,1,7,1,97.11,99,,7,71.43,28.57,0,14.29,0,14.29,0,0,14.29,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,0,0,0,0,14.29,0,28.57,0
44,b,"Hello, this is David.",1,4,1,,,99,4,50,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,25,25,0,25,0,0,25,0,0,25,0
45,d,"Hey David, how’s it going?",1,5,1,,99,,5,60,0,0,0,0,0,0,0,0,20,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,20,0,0,20,20
46,b,Good. How can I help?,1,5,1,1,63.35,99,2.5,100,20,0,0,0,20,20,0,0,40,0,40,20,20,20,0,0,0,0,40,40,0,20,20,0,0,0,0,20,20,20,0,0,0,0,0,0,20,0
47,d,"I was looking at a car on your lot. You have pricing online. I was asking for an out-the-door breakdown so I can look it over. A lot of dealerships do bait-and-switch. Your prices are on the website, so I'm not sure why you wouldn't give it in writing, and I got transferred to you.",1,55,17.1,71.57,5.07,,11,40,9.09,0,9.09,0,0,0,0,0,20,0,9.09,0,1.82,3.64,3.64,0,0,0,0,0,0,0,0,0,0,0,0,14.55,5.45,0,0,0,0,3.64,0,5.45,7.27,0
48,b,"That's just company policy. But if you look at our website, the breakdown is simple",1,15,3.8,96.04,19.26,,7.5,46.67,0,6.67,6.67,0,6.67,6.67,0,0,26.67,0,13.33,0,0,0,6.67,0,13.33,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,13.33,0
49,d,"Okay. Nothing else. And do I have to finance at like 9% with this deal, or can I use the low APR?",1,22,32.02,1,50.45,,7.33,45.45,9.09,0,0,4.55,0,0,0,0,22.73,4.55,18.18,0,4.55,4.55,4.55,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,9.09
50,b,All pricing online is in lieu of special financing. Whatever special financing you qualify for is what you receive. It depends on credit.,1,23,60.52,99,1,,7.67,30.43,0,0,8.7,0,4.35,0,4.35,0,17.39,4.35,4.35,0,4.35,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,13.04,0
51,d,"So if 2.99% is available, I can get 2.99%?",1,9,1,1,10.18,,9,66.67,11.11,0,0,22.22,0,0,0,0,33.33,0,22.22,0,0,11.11,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0
52,b,Correct.,1,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,d,And you can’t put any of that in writing? I just have to trust you?,1,15,3.8,77.41,63.35,,7.5,60,6.67,0,13.33,0,6.67,6.67,0,0,13.33,0,13.33,0,0,6.67,6.67,0,6.67,0,0,0,0,0,0,0,0,0,0,26.67,13.33,0,0,0,0,6.67,0,0,6.67,13.33
54,b,We do this all the time. If 2.99% is available and you qualify—720+ credit and 36-month term—you'll receive it. The only way you wouldn't is if your credit doesn’t meet the requirement.,1,34,1.05,99,12.44,66.58,11.33,61.76,0,2.94,11.76,8.82,5.88,2.94,2.94,0,35.29,8.82,8.82,0,0,2.94,5.88,0,5.88,0,2.94,2.94,0,0,0,0,0,0,0,17.65,2.94,0,0,0,0,0,5.88,0,8.82,2.94
55,d,Do you know for sure it's 2.99%?,1,7,2.35,99,24.32,,7,57.14,0,0,14.29,14.29,0,0,0,0,28.57,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,14.29,0
56,b,"Yes, I'm looking at it right now.",1,7,2.35,1,97.09,,7,42.86,14.29,0,0,0,0,0,0,0,42.86,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,28.57,0
57,d,"Okay. So 2.99% is available, and I can buy the car for $26,610, and I won't pay any other fees besides the three you mentioned?",1,25,12.09,1.98,35.01,,12.5,52,8,0,4,12,0,0,0,0,24,0,16,0,0,4,4,0,8,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,4,0,0,8,4
58,b,"Correct. Doc fee $999, filing fee $229, and 7% tax because you’re registering in Georgia.",1,15,39.7,96.04,1.91,,7.5,33.33,0,0,6.67,20,0,0,0,0,13.33,0,6.67,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,6.67,0
59,d,"Okay. Let me talk it over with the lady. She likes everything written out. I'll check with her. She doesn't like dealing with dealerships, so I'm calling around. I'll see what she wants to do.",1,35,12.97,40.06,1.27,65.27,5.83,42.86,11.43,0,0,0,0,0,0,0,20,2.86,2.86,0,0,2.86,0,0,0,0,2.86,2.86,0,0,0,0,0,0,0,20,8.57,0,2.86,0,0,5.71,0,2.86,8.57,8.57
60,b,"I completely understand. Let me know what you decide. If there’s anything I can do, please let me know. Miss Miranda will help with anything you need.",1,27,1,20.91,98.13,77.5,6.75,77.78,14.81,0,7.41,0,3.7,3.7,0,0,40.74,0,37.04,14.81,0,7.41,11.11,3.7,3.7,0,3.7,3.7,0,0,0,0,0,0,0,18.52,7.41,7.41,3.7,0,0,0,0,0,7.41,3.7
61,d,All right. Sounds good.,1,4,,,,99,2,50,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,25,25,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,b,"Thank you, sir.",1,3,10.19,99,,99,3,100,0,0,33.33,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,0,0,0,0,100,66.67,33.33,66.67,0,0,33.33,0,0,0,0
63,d,Bye.,1,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
