id,speaker,text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,dic,i,we,you,number,drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,Social,socbehav,prosocial,polite,conflict,moral,comm,time,focuspast,focuspresent,focusfuture
27,b,"Okay. This one doesn't have premium, right?",1,7,2.35,1,,,3.5,42.86,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0
28,d,"Correct. but it has heated seats, wheel, moonroof, liftgate, JbL, etc.",1,11,20.83,5.27,50.45,,5.5,18.18,0,0,0,0,0,0,0,0,18.18,0,9.09,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0
29,b,Let me think. I wanted silver.,1,6,10.19,1,99,,3,66.67,33.33,0,0,0,0,0,0,0,33.33,0,33.33,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0
30,d,"If you don't like it, tell me your number. We *are* negotiable. I'll talk to my manager.",1,17,1,93.56,83.69,,5.67,70.59,17.65,5.88,11.76,0,11.76,5.88,0,5.88,23.53,0,5.88,0,0,0,5.88,0,5.88,0,0,0,0,0,0,0,0,0,0,35.29,11.76,0,0,0,0,11.76,0,0,11.76,5.88
31,b,I'm trying for an OTd number. Someone offered $48 and change. Hoping for $47 and change.,1,16,62.1,40.06,1.63,99,5.33,56.25,6.25,0,0,12.5,6.25,0,6.25,0,43.75,0,31.25,0,12.5,12.5,12.5,0,0,0,12.5,12.5,0,6.25,6.25,0,0,0,0,12.5,6.25,6.25,0,0,0,0,12.5,6.25,6.25,6.25
32,d,"I'll try my best. If fair, we finalize. If not, I'll tell you.",1,13,1,1,99,99,4.33,92.31,23.08,7.69,7.69,0,23.08,7.69,15.38,0,46.15,0,30.77,0,0,7.69,15.38,0,23.08,0,7.69,7.69,0,0,0,0,0,0,0,23.08,7.69,0,0,0,0,7.69,0,0,0,15.38
33,b,Can you send a buyer's order?,1,6,49.68,99,1,,6,50,0,0,16.67,0,16.67,0,0,16.67,16.67,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,16.67,0
34,d,Only after pricing approval.,1,4,26.1,,89.39,,4,50,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
35,b,Okay.,1,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,d,I'll get back to you.,1,5,3.8,99,99,,5,40,20,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20
38,d,I have good and bad news.,1,6,1,1,39.59,20.23,6,66.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,16.67,16.67,33.33,16.67,16.67,0,0,0,16.67,16.67,0,0,0,0,16.67,0,0,0,0
39,b,Good news first.,1,3,,,,99,3,100,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,33.33,33.33,0,0,0,0,33.33,33.33,0,0,0,0,33.33,0,0,0,0
40,d,"We can do $48,500. Only for you.",1,7,1,99,1,,3.5,57.14,0,14.29,14.29,14.29,14.29,14.29,0,0,14.29,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,0,0,0,0,0,0,14.29,0
41,b,I appreciate it. I'll keep shopping.,1,6,1,1,99,99,3,66.67,33.33,0,0,0,0,0,0,0,33.33,0,16.67,16.67,0,0,0,0,0,0,33.33,33.33,0,16.67,16.67,0,0,0,0,16.67,16.67,16.67,0,0,0,0,0,0,0,16.67
42,d,"We dropped from $52K to $48.5K. If too high, be honest; I can try more.",1,16,26.1,40.06,15.38,96.74,8,62.5,6.25,6.25,0,18.75,12.5,6.25,6.25,0,18.75,0,18.75,0,0,12.5,6.25,0,6.25,0,6.25,6.25,0,0,0,0,0,0,0,12.5,6.25,0,0,0,6.25,0,0,6.25,6.25,0
43,d,"but the car will not go below $48,500. Manager already dropped $3K.",1,12,49.68,1,99,,6,66.67,0,0,0,16.67,8.33,0,0,8.33,33.33,0,16.67,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,8.33,16.67,0,8.33
44,d,Tell me how much you want down; I'll try.,1,9,1.78,40.06,77.17,,9,77.78,22.22,0,11.11,0,11.11,0,11.11,0,44.44,0,33.33,11.11,11.11,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,11.11,0,0,0,0,11.11,0,0,0,11.11
45,b,I'm hoping for closer to $47K.,1,6,89.52,1,39.59,99,6,50,16.67,0,0,16.67,0,0,0,0,33.33,0,16.67,0,0,16.67,16.67,0,0,0,16.67,16.67,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67
46,d,Give me permission to take it to the manager.,1,9,98.16,40.06,10.18,,9,44.44,11.11,0,0,0,22.22,0,0,22.22,22.22,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,22.22,0,0,0,0,0,0,0,11.11,0
47,b,do your thing.,1,3,1,99,,,3,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0
48,d,Your target is $47K?,1,4,1,99,,,4,75,0,0,25,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0
49,b,Yes.,1,1,,,,,1,100,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,d,"I'll try. If approved, I'll call back.",1,7,1,1,99,,3.5,85.71,28.57,0,0,0,28.57,0,14.29,14.29,57.14,0,28.57,0,0,14.29,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,14.29,0,14.29,0,28.57
51,b,Sounds good.,1,2,,,,99,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,d,"Thank you, sir.",1,3,10.19,99,,99,3,100,0,0,33.33,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,0,0,0,0,100,66.67,33.33,66.67,0,0,33.33,0,0,0,0
