id,speaker,text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,dic,i,we,you,number,drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,Social,socbehav,prosocial,polite,conflict,moral,comm,time,focuspast,focuspresent,focusfuture
29,d,No.,1,1,1,1,,,1,100,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,b,Okay.,1,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,d,I could be though.,1,4,1,1,89.39,,4,75,25,0,0,0,0,0,0,0,50,0,50,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,b,I used to work at a dealership. Any sales manager would want to see a $750-off offer to decide whether to keep the deal local.,1,25,99,19.67,3.34,81.12,12.5,48,4,0,0,4,8,0,4,4,24,0,24,4,4,8,4,0,4,0,4,4,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,4,0,0
33,d,I don't think he would.,1,5,1,1,1,,5,100,20,0,0,0,0,0,0,0,60,0,40,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0
34,b,Then let's talk to him.,1,5,1,99,1,,5,80,0,20,0,0,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,0,0,0,20,20,0,20,0
35,d,We could — and I could show him your TikTok page.,1,10,1,99,1,,10,60,10,10,10,0,10,10,0,0,20,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
36,b,So that's why you called — because of TikTok. Fine. Let's talk to your sales manager.,1,15,1,99,,97.84,5,66.67,0,6.67,13.33,0,13.33,6.67,0,6.67,33.33,0,13.33,0,13.33,0,0,0,0,0,6.67,6.67,0,0,0,0,0,0,0,40,13.33,0,0,0,0,13.33,0,6.67,13.33,0
37,d,Aren't you buying cars for clients?,1,6,10.19,98.75,39.59,,6,50,0,0,16.67,0,0,0,0,0,16.67,0,16.67,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,16.67,0
38,b,Yes.,1,1,,,,,1,100,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,d,"If you get $750 off, why would they pay you $1,000?",1,11,1.5,99,1,,11,72.73,0,0,18.18,18.18,0,0,0,0,27.27,0,27.27,0,9.09,9.09,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,27.27,0,0,0,0,0,0,0,0,0,0
40,b,This will be on TikTok. Your attitude is why people hate dealerships. Another manager worked with me and now has sales from the exposure.,1,24,16.96,84.23,15.38,1,8,50,4.17,0,4.17,0,8.33,0,4.17,4.17,29.17,0,8.33,0,4.17,0,0,0,4.17,0,4.17,0,4.17,4.17,0,4.17,0,4.17,0,12.5,0,0,0,0,0,0,4.17,4.17,12.5,4.17
42,d,We know the car business better than TikTok.,1,8,89.52,94.84,89.39,99,8,50,0,12.5,0,0,25,12.5,12.5,0,25,0,25,12.5,0,0,0,0,12.5,0,12.5,12.5,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0
43,b,Of course you do.,1,4,26.1,99,,,4,75,0,0,25,0,0,0,0,0,50,0,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
44,d,"Camrys can be invoice because there are 4,000 dealerships. The 4Runner is different.",1,13,4.85,7.93,2.93,,6.5,53.85,0,0,0,15.38,0,0,0,0,38.46,0,23.08,0,7.69,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,0
45,b,Can I talk to the sales manager? I don't need to talk to you.,1,14,56.86,40.06,1,,7,64.29,14.29,0,7.14,0,7.14,0,0,7.14,21.43,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,14.29,0,0,0,0,14.29,0,0,14.29,0
46,d,Okay. Good luck with your TikTok following.,1,7,89.52,99,,99,3.5,42.86,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,0,14.29,14.29,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0
47,b,You'll get millions of views.,1,5,39.7,99,,,5,40,0,0,20,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20
48,d,Try to tell people you know cars better than car people. Good luck.,1,13,89.52,99,2.93,99,6.5,76.92,0,0,7.69,0,15.38,0,15.38,0,23.08,0,23.08,7.69,0,7.69,0,0,7.69,0,23.08,23.08,0,7.69,7.69,0,0,0,0,30.77,7.69,0,0,0,0,7.69,0,0,0,0
49,b,I'm just trying to get people good deals.,1,8,26.1,40.06,1,99,8,50,12.5,0,0,0,12.5,0,12.5,0,25,0,12.5,0,0,12.5,0,0,0,0,12.5,12.5,0,12.5,12.5,0,0,0,0,12.5,0,0,0,0,0,0,0,0,12.5,0
50,d,He hung up.,1,3,89.52,99,99,,3,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,33.33,0,0
