id,text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Dic,i,we,you,number,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,Social,socbehav,prosocial,polite,conflict,moral,comm,time,focuspast,focuspresent,focusfuture
14,"To be fair, I’ve only been looking at used. Billy suggested you might give me a crazy deal on new, which is why I even entertained it.",1,27,6.03,8.59,52.89,99,13.5,59.26,11.11,0,3.7,0,0,0,0,0,33.33,0,14.81,0,7.41,0,3.7,0,3.7,0,14.81,11.11,0,7.41,3.7,0,0,0,0,11.11,7.41,0,0,0,0,3.7,3.7,11.11,7.41,3.7
15,"$3,500 off MSRP plus fees is a very aggressive deal on a new car in this market.",1,17,98.34,,12.44,20.23,17,23.53,0,0,0,5.88,0,0,0,0,11.76,0,0,0,0,0,0,0,0,0,11.76,5.88,5.88,5.88,0,5.88,0,5.88,0,5.88,5.88,0,0,5.88,0,0,5.88,0,5.88,0
16,"I understand. Chris, I was in the industry for 10 years. I left about a year ago. I’m super familiar with how the process works.",1,25,74.19,1,99,81.12,6.25,52,16,0,0,4,4,0,4,0,32,0,8,8,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,8,0
17,"Yes—and it’s a $3,500 discount. What are you fighting over? You’re the one who’s supposed to let me make money. If you’ve been in the business 10 years, what are you doing? You know you’re the guy I make money off of—it’s you.",1,45,2.63,99,10.18,3.72,9,64.44,4.44,0,15.56,4.44,0,0,0,0,42.22,6.67,13.33,2.22,4.44,4.44,2.22,0,2.22,0,2.22,0,2.22,0,0,0,0,0,0,22.22,2.22,0,0,2.22,0,0,2.22,4.44,15.56,4.44
18,"You're giving a $3,500 discount, and I appreciate that. But with the fees, it becomes about a $1,500 net discount. That puts you roughly at invoice. At that point, you're probably netting zero on the car.",1,36,49.68,92.24,10.18,64,9,36.11,2.78,0,8.33,8.33,0,0,0,0,19.44,0,13.89,2.78,0,0,5.56,0,2.78,0,2.78,2.78,0,2.78,2.78,0,0,0,0,11.11,2.78,2.78,0,0,0,0,0,0,11.11,0
19,Which is exactly where I’m at—net zero. And you want me to lose more?,1,15,3.8,10.48,63.35,1,7.5,60,13.33,0,6.67,6.67,6.67,0,6.67,0,40,0,20,0,0,6.67,0,6.67,6.67,0,6.67,0,6.67,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,13.33,0
20,"What I’ve seen in the Mazda market is the best deals are losing about $1,000.",1,15,59.67,10.48,19.26,1,15,46.67,6.67,0,0,6.67,13.33,0,13.33,0,20,0,0,0,0,0,0,0,0,0,6.67,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,13.33,0
21,"Then you may have to go shop around the valley. I’m the number-one Mazda store in the western region. I didn’t get there with bad prices or terrible customer service. My deal is aggressive. If you want to spend a day or two shopping around and maybe beat it by a hundred bucks, go ahead.",1,55,56.07,14.16,99,1,11,43.64,5.45,0,3.64,3.64,0,0,0,0,20,0,12.73,0,0,1.82,9.09,0,7.27,0,5.45,0,5.45,5.45,0,5.45,0,1.82,0,7.27,1.82,0,0,1.82,0,0,5.45,1.82,3.64,7.27
22,"I have the best reviews in the valley. Best prices. Largest inventory. I make it as easy as possible. We don’t even have a traditional finance department here. But you want me to take off $5,000 and lose $1,000 for someone I don’t even know?",1,45,22.17,17.85,47.52,20.23,7.5,46.67,8.89,2.22,2.22,4.44,8.89,2.22,6.67,0,22.22,0,15.56,4.44,2.22,2.22,4.44,0,2.22,0,4.44,2.22,2.22,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,4.44,0
23,"I’m not asking you to take $5,000 off. You could simply give me a $3,000 discount and remove all the fees.",1,21,29.12,40.06,5.94,,10.5,57.14,9.52,0,9.52,9.52,0,0,0,0,28.57,4.76,14.29,0,0,4.76,0,4.76,4.76,0,0,0,0,0,0,0,0,0,0,19.05,9.52,0,0,0,0,4.76,0,0,9.52,0
24,"That’s the same thing as a $5,000 discount. The fees are how I keep the lights on and pay my sales staff.",1,22,58.76,5.27,50.45,86.79,11,40.91,9.09,0,0,4.55,0,0,0,0,18.18,0,9.09,4.55,4.55,0,0,0,4.55,0,4.55,4.55,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,9.09,0
25,We both know you lose on some deals and make it back on others.,1,14,35.59,99,72.58,1,14,42.86,0,7.14,7.14,0,14.29,7.14,7.14,0,28.57,0,21.43,7.14,7.14,0,0,0,7.14,0,7.14,0,7.14,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0
26,"What the hell are you doing, Bubba? Stop. If you’ve been in finance, then just ink up. You know it's a good deal. Stop grinding me over $500 or $1,000.",1,30,10.19,89.5,99,72.45,6,60,3.33,0,10,6.67,0,0,0,0,30,0,10,3.33,0,0,6.67,0,6.67,0,6.67,3.33,0,3.33,3.33,0,0,0,0,13.33,0,0,0,0,0,0,10,6.67,6.67,0
27,"I respectfully disagree. When someone said no in my career, I didn’t fold over either.",1,15,1,1,99,20.23,7.5,73.33,20,0,0,0,6.67,0,0,6.67,40,6.67,20,0,0,0,6.67,0,13.33,0,13.33,6.67,6.67,0,0,0,0,0,0,26.67,20,6.67,6.67,6.67,0,6.67,6.67,13.33,0,0
28,"And I didn’t get to this chair by saying yes every time. So I guess you have to go shop, Tommy. I apologize. I hope you have an amazing day. Good luck out there. I just don’t know how to get to your number. I’m not trying to lose money to sell you a car. I’ll net zero—but losing money for someone who’s never sent me a referral, doesn’t own a Mazda, has no trade-in, and brings nothing to the table, while asking me to give everything—that’s a lot.",1,91,14.06,4.09,86.41,54.36,11.38,57.14,9.89,0,4.4,1.1,5.49,0,3.3,2.2,29.67,6.59,9.89,3.3,1.1,2.2,3.3,0,3.3,0,6.59,4.4,2.2,3.3,3.3,0,0,0,0,13.19,6.59,1.1,1.1,0,0,2.2,4.4,2.2,8.79,4.4
29,If you're willing to do this,1,6,1,98.75,39.59,,6,33.33,0,0,16.67,0,0,0,0,0,33.33,0,16.67,0,0,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,16.67,0
30,I appreciate that. And I wasn't even looking at a new car; Billy suggested it.,1,15,3.8,1,99,99,7.5,40,13.33,0,0,0,0,0,0,0,20,0,13.33,6.67,0,0,0,0,6.67,0,13.33,13.33,0,6.67,6.67,0,0,0,0,13.33,13.33,6.67,0,0,0,6.67,6.67,6.67,0,0
31,Let me ask you this,1,5,1,99,63.35,,5,60,20,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,0,0,0,0,20,0,0,0,0
32,"Again, that’s why—",1,3,1,,99,,3,100,0,0,0,0,0,0,0,0,100,0,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0
33,That makes no sense. But you're the one saying you're looking at used.,1,13,4.85,98.04,30.98,,6.5,76.92,0,0,15.38,0,0,0,0,0,69.23,23.08,30.77,7.69,15.38,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,23.08,7.69,0,0,0,0,7.69,0,7.69,23.08,0
34,I said I’d need a 10% discount and no fees.,1,10,3.8,1,1,,10,60,20,0,0,10,0,0,0,0,40,10,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,10,0,10,0,0
35,And I gave you a 10% discount—with fees. Every dealer has fees.,1,13,53.56,81.78,2.93,,6.5,46.15,7.69,0,7.69,7.69,0,0,0,0,23.08,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,7.69,0,0,0,0,0,0,7.69,7.69,0
36,That’s not true. I buy a lot of cars.,1,9,33.38,1,77.17,1,4.5,44.44,11.11,0,0,0,0,0,0,0,33.33,0,22.22,0,0,0,0,0,11.11,0,22.22,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0
37,Every dealership has fees.,1,4,26.1,,,,4,50,0,0,0,0,0,0,0,0,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
38,"And I remove those fees. I said I’d pay for the tint. I just don’t want to pay for everything else. Dealerships advertise low prices, then add extras to make up the margin.",1,33,45.12,1,50.45,,8.25,33.33,12.12,0,0,0,0,0,0,0,21.21,3.03,12.12,0,3.03,6.06,0,0,3.03,0,0,0,0,0,0,0,0,0,0,3.03,3.03,0,0,0,0,3.03,3.03,3.03,3.03,0
39,Everyone is doing it. I'm not the only one. I have to keep my lights on. The world has changed since COVID.,1,22,12.37,1,99,86.79,5.5,68.18,13.64,0,0,4.55,0,0,0,0,40.91,13.64,13.64,0,9.09,0,0,0,4.55,0,4.55,4.55,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,9.09,4.55,13.64,9.09
40,"Chris, I was in the industry throughout COVID.",1,8,98.55,1.71,99,,8,25,12.5,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0
41,Me too. I’ve been in the business 30 years. Not my first rodeo. I’ve sold cars across multiple states. But you’re griping over a fee when I’m giving an amazing discount.,1,31,11.71,1,99,70.91,6.2,48.39,16.13,0,3.23,6.45,0,0,0,0,32.26,0,6.45,0,0,0,0,0,6.45,0,3.23,3.23,0,3.23,3.23,0,0,0,0,3.23,0,0,0,0,0,0,6.45,12.9,6.45,0
42,This isn’t pennies.,1,3,1,1,99,,3,33.33,0,0,0,0,0,0,0,0,33.33,0,33.33,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0
43,"You’re stepping over pennies, bud.",1,5,39.7,99,63.35,,5,40,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,20,0
44,This is two grand of fees.,1,6,49.68,,,99,6,50,0,0,0,16.67,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0
45,"My rent alone is $90,000 a month. My lights are $32,000. This is how I keep the lights on and pay staff. Let me ask you",1,26,8.56,20.31,81.58,79.29,6.5,61.54,15.38,0,3.85,7.69,0,0,0,0,23.08,0,3.85,3.85,3.85,0,0,0,0,0,3.85,3.85,0,0,0,0,0,0,0,15.38,3.85,0,0,0,0,3.85,3.85,0,11.54,0
46,"Chris, have you never lost on a deal?",1,8,26.1,94.84,15.38,1,8,37.5,0,0,12.5,0,0,0,0,0,25,12.5,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,12.5,0,0
47,"Of course I have—but on repeat or referral customers. Not on someone I’ve never met, who won't even come in, and demands a guaranteed OTD before seeing the car. I could give you any number over the phone and change it later—like any dealer. But I’m giving you a real number.",1,53,22.75,8.26,98.5,49.04,13.25,58.49,7.55,0,3.77,0,1.89,0,0,1.89,39.62,1.89,24.53,0,1.89,1.89,7.55,7.55,7.55,0,1.89,1.89,0,0,0,0,0,0,0,16.98,7.55,0,0,0,0,1.89,9.43,3.77,3.77,1.89
48,"I bought a Mazda CX-90 three months ago. Got a $6,500 discount and paid $1,000 in fees.",1,17,89.52,12.77,83.69,,8.5,52.94,5.88,0,0,23.53,0,0,0,0,23.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76,17.65,0,0
49,Cool. Where’d you buy it from?,1,6,1,99,39.59,99,3,50,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,16.67,0,0
50,Phoenix.,1,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"Why are you talking to me then? If your salesman was good, you wouldn’t be calling me. If I sold you a car six months ago and you called another store, nope.",1,32,1,87.7,89.39,69.4,10.67,75,9.38,0,15.63,3.13,0,0,0,0,34.38,0,15.63,0,3.13,3.13,6.25,0,9.38,0,3.13,3.13,0,3.13,3.13,0,0,0,0,25,6.25,0,0,0,0,6.25,9.38,12.5,3.13,0
52,I was looking at a used car here. You're my local dealership.,1,12,10.19,40.06,99,,6,41.67,16.67,0,8.33,0,0,0,0,0,25,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,16.67,8.33,0
53,You said you were in the business. And you don’t even have loyalty to someone who sold you a car six months ago.,1,23,4.38,99,17.84,84.9,11.5,60.87,0,0,17.39,4.35,4.35,4.35,0,0,30.43,0,4.35,0,0,0,4.35,0,0,0,4.35,4.35,0,0,0,0,0,0,0,34.78,8.7,4.35,0,0,0,4.35,8.7,17.39,4.35,0
54,"Chris, the way you're talking is condescending. I was in finance for six years.",1,14,56.86,79.51,97.09,1,7,57.14,7.14,0,7.14,7.14,7.14,0,0,7.14,28.57,0,0,0,0,0,0,0,0,0,7.14,0,7.14,0,0,0,0,0,0,21.43,14.29,0,0,0,0,7.14,7.14,7.14,14.29,0
55,Great job—then you know about profit. Let me make a thousand dollars. Let Billy get a deal. Let’s stop stressing and make a car deal.,1,26,64.84,93.13,30.98,20.23,6.5,42.31,3.85,3.85,3.85,3.85,3.85,3.85,0,0,19.23,0,11.54,3.85,7.69,0,0,0,0,0,7.69,3.85,3.85,3.85,0,3.85,3.85,0,0,7.69,0,0,0,0,0,0,7.69,0,3.85,0
56,Not everyone—,1,2,1,1,99,,2,100,0,0,0,0,0,0,0,0,100,50,50,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0
57,You ran three grand a copy for six years and won’t let me make zero?,1,15,59.67,10.48,93.95,97.84,15,73.33,6.67,0,6.67,20,13.33,0,0,13.33,20,0,13.33,0,6.67,0,0,0,6.67,0,6.67,6.67,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,6.67,6.67,0,0
58,That's not what I'm saying.,1,5,1,1,99,,5,80,20,0,0,0,0,0,0,0,60,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,20,0,0,40,0
59,"You brag about $3,000 a copy, but won't let me make zero. You're the greediest customer I've ever run across.",1,20,15.41,40.06,99,1,10,65,10,0,10,10,10,0,0,10,30,5,15,0,5,0,0,0,10,0,5,0,5,0,0,0,0,0,0,20,5,0,0,0,5,0,5,5,5,0
60,That's insane.,1,2,1,,,,2,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
61,I hope the hours you spend shopping are worth a couple hundred dollars—that’s all you’ll get from any dealer.,1,20,39.7,97.73,1,90.5,20,50,5,0,10,5,0,0,0,0,35,5,10,0,0,5,10,0,0,0,5,5,0,5,5,0,0,0,0,10,0,0,0,0,0,0,5,0,10,10
62,Or I'll buy the used car I originally wanted.,1,9,1.78,1,99,,9,66.67,22.22,0,0,0,0,0,0,0,55.56,0,44.44,0,22.22,11.11,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,22.22,0,11.11
63,And pay more interest.,1,4,26.1,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,"Again, that's why—",1,3,1,,99,,3,100,0,0,0,0,0,0,0,0,100,0,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0
65,I'm telling you,1,3,1,99,99,,3,100,33.33,0,33.33,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,33.33,0,0,0,0,33.33,0,0,33.33,0
66,"At this point, I’m going to shop it. You’ve disrespected me.",1,11,1.5,40.06,50.45,1,5.5,54.55,18.18,0,9.09,0,9.09,0,0,9.09,18.18,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,18.18,9.09,0,0,9.09,9.09,0,0,9.09,9.09,18.18
67,How is asking for a good survey disrespect?,1,8,89.52,,15.38,20.23,8,62.5,0,0,0,0,12.5,0,0,12.5,25,0,12.5,12.5,12.5,0,0,0,0,0,25,12.5,12.5,12.5,12.5,0,0,0,0,25,25,0,0,12.5,12.5,12.5,0,0,12.5,0
68,"Three minutes ago, you told me you didn’t want my business.",1,11,1,40.06,99,,11,90.91,18.18,0,18.18,9.09,0,0,0,0,45.45,0,18.18,0,0,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,27.27,9.09,0,0,0,0,9.09,18.18,27.27,0,0
69,"I said if you want $500 more off, I’ll do it.",1,11,1,5.27,50.45,,11,63.64,18.18,0,9.09,9.09,0,0,0,0,36.36,0,18.18,0,0,9.09,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,18.18,9.09,0,0,0,0,9.09,0,9.09,0,9.09
70,"Chris, if you'd let me talk",1,6,1,40.06,99,,6,66.67,16.67,0,16.67,0,0,0,0,0,16.67,0,16.67,0,0,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,33.33,16.67,0,0,0,0,16.67,0,0,0,0
71,And I’m offering a good deal.,1,6,10.19,1,39.59,99,6,50,16.67,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,16.67,16.67,0,16.67,16.67,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,16.67,0
72,I want a great deal.,1,5,89.52,1,1,99,5,60,20,0,0,0,0,0,0,0,20,0,20,0,0,20,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,I didn’t even shoot for the moon with you. My first offer was extremely aggressive.,1,15,10.19,1.24,63.35,1,7.5,60,13.33,0,6.67,6.67,0,0,0,0,20,0,13.33,0,0,0,0,6.67,6.67,0,6.67,0,6.67,6.67,0,6.67,0,6.67,0,20,13.33,0,0,6.67,0,0,0,13.33,0,0
74,Mhm.,1,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,And then you come back with an insulting offer—someone in the business should know exactly where I sit.,1,19,52.34,90.88,99,1,19,47.37,5.26,0,5.26,0,0,0,0,0,21.05,0,21.05,5.26,0,5.26,5.26,5.26,0,0,5.26,0,5.26,5.26,0,5.26,0,5.26,0,21.05,10.53,0,0,5.26,0,0,5.26,0,0,0
76,Do you at least see where I’m coming from? My dealership would not orient the conversation this way.,1,18,10.19,2.75,99,,9,33.33,11.11,0,5.56,0,0,0,0,0,16.67,0,11.11,0,0,5.56,0,0,5.56,0,0,0,0,0,0,0,0,0,0,11.11,5.56,0,0,0,0,5.56,0,0,5.56,0
77,I don’t talk behind people’s backs. I say things to their face. That’s why I’m successful.,1,16,1,1.71,89.39,96.74,5.33,68.75,18.75,0,0,0,6.25,0,6.25,0,25,0,6.25,0,6.25,0,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,25,12.5,0,0,0,0,12.5,0,0,18.75,0
78,Sure.,1,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,People respect truth. I’m asking to make zero. You want me to lose a thousand. Meet me in the middle at $500. Let's go.,1,24,82.63,84.23,89.39,83,4.8,62.5,12.5,4.17,4.17,12.5,12.5,4.17,4.17,4.17,20.83,0,8.33,0,4.17,4.17,0,0,0,0,12.5,8.33,4.17,0,0,0,0,0,0,25,12.5,4.17,0,0,0,4.17,0,0,8.33,0
80,I need a thousand-dollar loss to make sense for buying a new car for my son.,1,16,99,11.66,54.55,20.23,16,56.25,12.5,0,0,6.25,0,0,0,0,25,0,18.75,6.25,6.25,6.25,0,0,0,0,12.5,6.25,6.25,0,0,0,0,0,0,6.25,0,0,0,0,0,0,6.25,0,0,0
81,"Tommy, you're the toughest negotiator I’ve dealt with in six months.",1,11,71.44,86.82,95.15,,11,54.55,9.09,0,9.09,9.09,9.09,0,0,9.09,27.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,9.09,0,0,0,0,9.09,9.09,18.18,9.09,0
82,Six months isn’t that long.,1,5,1,1,99,,5,60,0,0,0,20,0,0,0,0,40,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0
83,I sell 125 new and 150 used a month. Six months is a long time.,1,15,77.34,10.48,99,97.84,7.5,66.67,6.67,0,0,20,0,0,0,0,40,0,6.67,0,6.67,0,0,0,0,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.67,6.67,6.67,0
84,Fair.,1,1,,,,99,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,I might send you some business—but I need to know you won't tell everyone the deal you got.,1,19,2.68,98.27,33.61,,19,63.16,10.53,0,15.79,0,0,0,0,0,31.58,5.26,21.05,5.26,0,5.26,5.26,0,5.26,0,0,0,0,0,0,0,0,0,0,26.32,5.26,0,0,0,0,5.26,0,0,0,10.53
86,I never share my deal numbers with people.,1,8,5.64,1,99,,8,62.5,25,0,0,0,12.5,12.5,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12.5,0,0,0,0,0,12.5,0,0,0
87,I'm giving you a hard time. Let me ask,1,9,10.19,40.06,99,,4.5,55.56,22.22,0,11.11,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,11.11,0,0,0,0,11.11,11.11,0,11.11,0
88,Correct.,1,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,"Let me call my GM. That’s above my pay grade. I can do $500 more, but if he approves, will you give all tens on the survey?",1,27,6.03,2.75,52.89,,9,59.26,14.81,0,3.7,3.7,3.7,0,0,3.7,25.93,3.7,11.11,0,0,3.7,3.7,0,7.41,0,0,0,0,0,0,0,0,0,0,14.81,7.41,0,0,0,0,3.7,0,0,11.11,3.7
90,Of course.,1,2,99,,,,2,100,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,You can even write in the comments that I'm a butthead.,1,11,20.83,86.82,5.07,,11,36.36,9.09,0,9.09,0,0,0,0,0,27.27,0,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,9.09,0,0,0,0,9.09,0,0,18.18,0
92,I won't do that. I’ll give you a great Google review.,1,11,1,5.27,95.15,99,5.5,63.64,18.18,0,9.09,0,0,0,0,0,36.36,0,9.09,9.09,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,18.18,9.09,0,0,0,0,0,0,0,9.09,18.18
