id,text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Dic,i,we,you,number,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,Social,socbehav,prosocial,polite,conflict,moral,comm,time,focuspast,focuspresent,focusfuture
45,"Yes — 12,000 miles.",1,3,,,99,,3,66.67,0,0,0,33.33,0,0,0,0,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,$6K down?,1,2,99,,99,,2,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Yes — no loyalty.,1,3,10.19,1,,99,3,100,0,0,0,0,33.33,33.33,0,0,66.67,66.67,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,0,0,0,0,33.33,33.33,33.33,0,0,0,0,0,0,0,0
48,Let me pull the VIN.,1,5,89.52,1,99,,5,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Thanks.,1,1,,,,99,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,100,100,100,100,0,0,100,0,0,0,0
50,Can I speak to someone in sales?,1,7,56.86,40.06,24.32,,7,57.14,14.29,0,0,0,0,0,0,0,28.57,0,28.57,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,28.57,14.29,0,0,0,0,14.29,0,0,14.29,0
51,Internet department — I can help.,1,5,3.8,1,1,99,5,60,20,0,0,0,20,20,0,0,20,0,20,0,0,20,0,0,0,0,20,20,0,0,0,0,0,0,0,20,20,20,0,0,0,0,0,0,20,0
52,I'm interested in the X1 M35.,1,6,89.52,1,99,99,6,66.67,16.67,0,0,33.33,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0
53,I have a white one. What interior?,1,7,18.12,1,97.09,,3.5,28.57,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Black or gray — not brown. Does it have ACC?,1,9,1,1,77.17,,4.5,33.33,0,0,0,0,0,0,0,0,33.33,0,22.22,0,0,0,11.11,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0
55,Yes — and wireless charging.,1,4,26.1,,,,4,25,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"Great. Local dealer is offering $4,500 off but wrong interior. Match that and I'll fly in today.",1,17,29.85,2.18,99,20.23,5.67,47.06,5.88,0,0,5.88,0,0,0,0,23.53,0,5.88,0,0,0,0,0,5.88,0,11.76,5.88,5.88,0,0,0,0,0,0,11.76,11.76,0,0,0,5.88,0,5.88,0,11.76,5.88
57,Okay — lease?,1,2,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Yes.,1,1,,,,,1,100,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,"MSRP is $54,470. How much down?",1,6,49.68,,99,,3,50,0,0,0,16.67,0,0,0,0,33.33,0,16.67,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0
60,5K.,1,1,,,,,1,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Lease term?,1,2,,,99,,2,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0
62,39 months.,1,2,,,99,,2,100,0,0,0,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0
63,Give me two minutes to grab the VIN. What's the other offer?,1,12,89.52,1,89.39,,6,58.33,8.33,0,0,8.33,0,0,0,0,33.33,0,8.33,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,8.33,0,16.67,0
64,"$49,950 with $5K down. Working on getting the buyer’s order.",1,10,99,,7.03,,5,40,0,0,0,20,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Send it and I’ll work with my manager.,1,8,1,1.71,89.39,,8,50,25,0,0,0,25,0,12.5,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,12.5
66,"Local payment was ~$1,200/mo with ~$4,900 down. If you can do $1,200 with 5K down, I'll buy today.",1,19,52.34,40.06,93.14,,9.5,52.63,5.26,0,5.26,21.05,0,0,0,0,26.32,0,10.53,0,0,5.26,5.26,0,5.26,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,5.26,5.26,10.53,5.26
67,One moment.,1,2,,,99,,2,100,0,0,0,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0
68,Are you happy with the X5 numbers?,1,7,89.52,99,,99,7,57.14,0,0,14.29,14.29,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,14.29,14.29,0,14.29,14.29,0,0,0,0,14.29,0,0,0,0,0,0,0,0,14.29,0
69,Yes — I'm going with that one.,1,6,10.19,1,99,,6,66.67,16.67,0,0,16.67,0,0,0,0,33.33,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67
70,I'll prepare a buyer's order.,1,5,39.7,1,63.35,,5,60,20,0,0,0,20,0,0,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
71,Great — I'll tell the other dealer no.,1,7,18.12,1,97.09,99,7,71.43,14.29,0,0,0,0,0,0,0,42.86,14.29,14.29,0,0,0,0,0,14.29,0,14.29,14.29,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,14.29,0,0,0,14.29
72,Now I need X1 numbers. Does it have black or coral interior?,1,12,1,1,89.39,,6,50,8.33,0,0,8.33,0,0,0,0,33.33,0,16.67,0,0,8.33,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,16.67,0
73,Not sure — it doesn't specify.,1,5,1,1,,,5,60,0,0,0,0,0,0,0,0,60,0,40,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
74,Can you send a picture of the actual vehicle?,1,9,98.16,99,1,,9,22.22,0,0,11.11,0,0,0,0,0,11.11,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,11.11,0
75,Sure — I can.,1,3,1,1,1,,3,66.67,33.33,0,0,0,0,0,0,0,33.33,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0
76,Great — thank you.,1,3,10.19,99,,99,3,100,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,66.67,0,0,0,0,0,0,0,66.67,33.33,33.33,33.33,0,0,33.33,0,0,0,0
