id,text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Dic,i,we,you,number,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,Social,socbehav,prosocial,polite,conflict,moral,comm,time,focuspast,focuspresent,focusfuture
11,Perfect. Were you planning on financing or paying cash?,1,9,33.38,92.24,77.17,99,4.5,55.56,0,0,11.11,0,11.11,0,11.11,0,44.44,0,33.33,11.11,0,0,11.11,11.11,11.11,0,11.11,11.11,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,11.11,0,11.11
12,"I was thinking about paying cash, but I'd finance if the deal was right.",1,14,2.35,1,97.09,,14,50,14.29,0,0,0,0,0,0,0,42.86,0,28.57,7.14,0,7.14,7.14,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0
13,"All right. Give me one moment. I'm going to get one of my new-car sales managers while I get a video of the vehicle sent to you. Then I’ll have them call you, and we can go from there on numbers. They'll let you know, and then we can agree on something.",1,52,14.06,98.04,70.92,,10.4,57.69,9.62,3.85,5.77,3.85,5.77,3.85,0,1.92,21.15,1.92,7.69,1.92,0,3.85,1.92,0,0,0,0,0,0,0,0,0,0,0,0,21.15,5.77,0,0,0,0,1.92,7.69,1.92,7.69,7.69
14,Awesome. That sounds great.,1,4,26.1,,,99,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"Okay, Tommy. What’s a good email to send the video to?",1,11,99,,,99,5.5,27.27,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,9.09,9.09,0,9.09,9.09,0,0,0,0,9.09,9.09,0,0,0,0,9.09,0,0,9.09,0
16,Can you just text it to me? It's way easier.,1,10,1,89.5,7.03,99,5,60,10,0,10,0,0,0,0,0,20,0,10,0,0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,20,10,0,0,0,0,10,0,0,20,0
17,Got you. Give me a couple of minutes. I'll get everything started for you and send the video shortly.,1,19,36.67,90.88,93.14,,6.33,47.37,10.53,0,10.53,0,0,0,0,0,26.32,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.79,5.26,0,0,0,0,0,15.79,5.26,5.26,5.26
18,Sounds good.,1,2,,,,99,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Hey Tommy, how are you doing? This is Jorge, the sales manager.",1,12,2.87,99,3.81,,6,50,0,0,8.33,0,8.33,0,0,8.33,25,0,8.33,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8.33,0,0,0,0,8.33,0,0,16.67,0
20,"Hey man, I'm doing well. How about yourself?",1,8,1,99,89.39,99,4,75,12.5,0,12.5,0,0,0,0,0,25,0,12.5,12.5,12.5,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,37.5,12.5,0,0,0,0,12.5,0,0,12.5,0
21,Very good. I know you're working with KJ and looking for the CR-V Sport Hybrid.,1,15,59.67,77.41,19.26,97.84,7.5,33.33,6.67,0,6.67,0,6.67,0,6.67,0,13.33,0,6.67,6.67,0,0,0,0,0,0,6.67,6.67,0,6.67,6.67,0,0,0,0,6.67,0,0,0,0,0,0,0,0,6.67,0
22,"Absolutely. Already drove it, love it, just looking for the best possible price to knock me out of my socks—or keep me in my socks—so I can come in and buy a car in the morning.",1,38,60.19,1,99,61.63,19,42.11,13.16,0,0,0,2.63,0,2.63,0,15.79,0,10.53,0,0,2.63,5.26,2.63,2.63,0,7.89,5.26,2.63,2.63,2.63,0,0,0,0,2.63,2.63,0,0,0,0,0,5.26,5.26,2.63,0
23,"I got you. On that vehicle, we do have accessories installed. I don’t know if other dealerships are giving you accessories.",1,21,1,67.92,84.92,,7,47.62,9.52,4.76,9.52,0,4.76,4.76,0,0,23.81,0,14.29,4.76,0,0,4.76,0,9.52,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,9.52,0
24,"No. What do you mean by accessories? Like a phone case for my phone, or what?",1,16,43.4,11.66,54.55,,5.33,43.75,6.25,0,6.25,0,0,0,0,0,18.75,6.25,12.5,6.25,0,0,6.25,0,6.25,0,0,0,0,0,0,0,0,0,0,18.75,12.5,0,0,0,0,12.5,0,0,0,0
25,"No—window tint, door edge guards, all-weather floor mats, splash guards, and the Pro Pack, which includes wheel locks, trunk tray, and mud flaps.",1,24,62.1,6.61,89.39,,24,20.83,0,0,0,0,8.33,0,0,8.33,12.5,4.17,4.17,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0
26,Seems like a lot. How many accessories do you have bundled in?,1,12,73.36,98.75,89.39,,6,25,0,0,8.33,0,0,0,0,0,16.67,0,16.67,16.67,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,8.33,0
27,"We have the Pro Pack, door edge guards, all-weather mats—five items total.",1,13,74.95,98.04,30.98,,13,23.08,0,7.69,0,7.69,15.38,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0
28,Wow. And how much is all that?,1,7,1,,24.32,,3.5,57.14,0,0,0,0,0,0,0,0,42.86,14.29,14.29,14.29,14.29,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0
29,"Usually $2,695.",1,2,1,,99,,2,100,0,0,0,50,0,0,0,0,50,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0
30,Okay—*usually*. So now it's what?,1,6,1,,99,,3,50,0,0,0,0,0,0,0,0,50,0,16.67,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0
31,"Because I want to work with you, I can do it for $1,695—pretty much cutting it in half.",1,19,22.98,40.06,1,,19,47.37,10.53,0,5.26,5.26,5.26,0,5.26,0,21.05,0,21.05,0,5.26,10.53,5.26,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,5.26,0
32,"I think we have bad math. That's not half. Half of $2,695 is about $1,347. Okay, $1,347—that's half.",1,19,2.68,14.81,33.61,1,4.75,57.89,5.26,5.26,0,15.79,5.26,5.26,0,0,26.32,0,10.53,5.26,0,0,0,0,5.26,0,5.26,0,5.26,5.26,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,15.79,0
33,"Yes, so $1,347. Then you're looking at everything out-the-door at around $43,748.",1,12,10.19,98.75,39.59,,6,50,0,0,8.33,16.67,0,0,0,0,25,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,8.33,0,8.33,0
34,Okay. What’s the selling price of the car?,1,8,98.55,,,,4,12.5,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0
35,"$38,400.",1,1,,,,,1,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"That's the MSRP. What are you selling the car for? You’re going to give me a smoking deal, remember.",1,19,52.34,98.27,8.42,,6.33,47.37,5.26,0,10.53,0,0,0,0,0,26.32,0,5.26,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,15.79,5.26,0,0,0,0,0,0,5.26,21.05,10.53
37,"Of course. Usually we take about $500 off MSRP, but for Memorial Day weekend I took $900 off, plus the accessory discount.",1,22,94.5,40.06,79.84,,11,50,4.55,4.55,0,9.09,4.55,4.55,0,0,31.82,0,18.18,0,0,0,4.55,9.09,4.55,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,13.64,4.55,0,0
38,"Okay, so $42,790 out-the-door.",1,4,1,,,,4,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"I'll be transparent. My goal is to get about 7% off the vehicle with *no* add-ons. That would be about a $2,688 discount—let's round to $2,800. So I’d be looking at $38,400 minus $2,800, which puts us at roughly $35,600 plus no add-ons.",1,44,26.1,17.46,5.07,55.62,11,43.18,6.82,4.55,0,13.64,6.82,4.55,2.27,0,20.45,4.55,9.09,0,0,4.55,2.27,0,2.27,0,2.27,2.27,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,6.82,2.27
40,Let me ask you: how much do you think we purchase the car for?,1,14,18.12,99,72.58,,14,50,7.14,7.14,14.29,0,7.14,7.14,0,0,21.43,0,14.29,14.29,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,7.14,0,0,0,0,7.14,0,0,0,0
41,You probably got it for around $32–33k. Maybe $30k. I don’t know Honda dealer cost on this.,1,18,10.19,40.06,39.59,,6,50,5.56,0,5.56,16.67,0,0,0,0,22.22,0,16.67,5.56,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0,5.56,0
42,"We purchased it for $38,384.",1,5,39.7,99,,,5,60,0,20,0,20,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0
43,"Okay, then selling it to me at $35,600 would be $1,200 below what you say you purchased it for.",1,19,22.98,98.27,8.42,,19,47.37,5.26,0,10.53,10.53,0,0,0,0,10.53,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,15.79,5.26,0,0,0,0,5.26,5.26,5.26,0,0
44,"Yes. And that’s not possible. Offering $3,000 off—no dealer would do that for a 2024 CR-V Hybrid Sport.",1,19,22.98,1,1,,6.33,47.37,0,0,0,10.53,0,0,0,0,31.58,10.53,15.79,0,0,5.26,5.26,0,5.26,0,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,0,0,0,0,0,5.26,0
45,"I'm seeing plenty of deals in Massachusetts for $3,000 off MSRP, but I'm not willing to fly to Massachusetts just to get a car. If I had to, I'd drive 200 miles, but I'd rather stay local.",1,37,42.89,1,99,62.77,18.5,40.54,13.51,0,0,5.41,0,0,0,0,24.32,0,18.92,0,0,5.41,5.41,0,10.81,0,2.7,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,5.41,0
46,"Tommy, I want to work with you. Let me explain: how many CR-V Hybrids do you think we have in inventory?",1,21,29.12,99,84.92,,10.5,47.62,9.52,4.76,9.52,0,9.52,4.76,4.76,0,19.05,0,19.05,14.29,4.76,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,19.05,4.76,0,0,0,0,4.76,0,0,0,0
47,Probably three or four. Hybrids are hard to find.,1,9,33.38,2.75,77.17,,4.5,66.67,0,0,0,22.22,0,0,0,0,44.44,0,33.33,11.11,0,0,22.22,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0
48,Exactly. And how many have you seen sold in the last 3–4 weeks in your area?,1,17,64.21,99,99,,8.5,58.82,0,0,11.76,11.76,0,0,0,0,29.41,0,11.76,5.88,5.88,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,11.76,0,0,0,0,0,0,11.76,11.76,0,0
49,Probably two or three. I'm picking one up for my uncle too.,1,12,10.19,1,99,,6,66.67,16.67,0,0,25,0,0,0,0,25,0,16.67,0,0,0,16.67,0,8.33,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,8.33,0
50,"Exactly. So realistically, if I sell it at a $3,000 discount, we lose money. It's not possible.",1,17,3.11,2.18,46.57,1,5.67,52.94,5.88,5.88,0,5.88,11.76,5.88,5.88,0,35.29,0,23.53,0,0,0,11.76,5.88,11.76,0,5.88,0,5.88,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,5.88,0
51,"I'm not asking for $3,000—I said 7%.",1,8,5.64,1,99,,8,87.5,25,0,0,25,0,0,0,0,37.5,0,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,25,0,12.5,12.5,0
52,"From our price, that’s still impossible. We have about $400 of margin on that vehicle.",1,15,22.17,99,1.91,,7.5,33.33,0,13.33,0,6.67,13.33,13.33,0,0,13.33,0,6.67,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,13.33,0,0,0,0,0,0,0,0,6.67,0
53,Hybrids absolutely get stair-step incentives because manufacturers incentivize electrification.,1,9,33.38,,,,9,33.33,0,0,0,0,11.11,0,11.11,0,22.22,0,22.22,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Not on this model. But I want to help you. What number are you looking for from *me*?,1,18,19.76,13.82,39.59,93.93,6,50,11.11,0,11.11,0,5.56,5.56,0,0,22.22,0,16.67,0,0,5.56,0,0,11.11,0,5.56,5.56,0,0,0,0,0,0,0,16.67,5.56,5.56,0,0,0,0,0,0,5.56,0
55,I need 7% off and no accessories.,1,7,18.12,1,1,,7,57.14,14.29,0,0,14.29,0,0,0,0,28.57,14.29,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Stay on the phone. I'm calling my boss. Don't hang up.,1,11,45.12,1,99,,3.67,45.45,18.18,0,0,0,9.09,0,0,9.09,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,9.09,0,0,0,0,9.09,0,0,18.18,0
57,Take your time.,1,3,10.19,99,99,,3,66.67,0,0,33.33,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,33.33,0,0,0
58,"Hey Tommy, can you hear me?",1,6,1,98.75,1,,6,66.67,16.67,0,16.67,0,0,0,0,0,16.67,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,16.67,0,0,0,0,16.67,0,0,16.67,0
59,Yes.,1,1,,,,,1,100,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,"I want to be transparent. I tried my best. Seven percent is not possible for me or any other dealer in the market. I got you $1,500 off MSRP. We can do $3,000 off with accessories included. That’s the best we can do.",1,43,30.58,9.66,22.48,,7.17,58.14,11.63,4.65,2.33,6.98,11.63,4.65,6.98,0,27.91,0,18.6,0,0,6.98,6.98,0,6.98,0,0,0,0,0,0,0,0,0,0,6.98,0,0,0,0,0,0,0,4.65,9.3,0
61,"Could you do $2,500 off with no accessories? That would give me peace of mind.",1,15,22.17,40.06,1,99,7.5,60,6.67,0,6.67,6.67,0,0,0,0,33.33,6.67,20,0,0,13.33,0,0,0,0,13.33,13.33,0,0,0,0,0,0,0,13.33,6.67,0,0,0,0,0,0,0,6.67,0
62,"What my manager approved is $3,000 off the car *with* accessories. Without accessories, they will not discount further. Three thousand off is the lowest we can do.",1,27,44.1,40.06,27.44,,9,51.85,3.7,3.7,0,11.11,11.11,3.7,0,7.41,22.22,0,11.11,0,0,3.7,0,0,7.41,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,3.7,11.11,3.7
63,"I appreciate that. Let me call her real quick and see where we land, but honestly this is the best deal I've gotten today. I’ll call you back.",1,28,1,40.06,99,75.77,9.33,64.29,14.29,3.57,3.57,0,7.14,3.57,3.57,0,35.71,0,14.29,3.57,0,0,0,7.14,3.57,0,3.57,3.57,0,3.57,3.57,0,0,0,0,21.43,10.71,3.57,0,0,0,7.14,7.14,7.14,7.14,3.57
64,No problem. I'm here. Thank you.,1,6,1,40.06,99,99,2,83.33,16.67,0,16.67,0,0,0,0,0,50,16.67,16.67,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,33.33,16.67,16.67,16.67,0,0,16.67,0,0,16.67,0
